Discharge,Feelings and Urge,Pain and Infection,Physical Conditions,Critical Feelings,Critical,Disease
"Yellow,green discharge",Urge to urinate,Abdominal Pain,Swollen testicles,Seizures,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,Swollen testicles,Seizures,Critical,cancer
Frequent Urination,Tired,Frequent Infection,Bloody diarrhea,Seizures,Critical,Diabetes
Frequent Urination,Tired,Frequent Infection,Rashes,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,Rose spots,Confusion,Critical,Diabetes
Painful Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,Disorientation,Critical,cancer
"Yellow,green discharge",Fever,Headache,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Fever,Swollen genitals,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Blurred Vision,Swollen testicles,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Rashes,NIL,Critical,cancer
"Yellow,green discharge",Tired,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Fever,Anal Itching and Pain,Rashes,Seizures,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Blurred Vision,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Frequent Infection,Rose spots,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Fever,Abdominal Pain,Rose spots,Confusion,Critical,cancer
"Yellow,green discharge",Hunger,Frequent Infection,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Blurred Vision,Rashes,NIL,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Tired,Headache,Rashes,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Hunger,Swollen genitals,Rashes,Seizures,Critical,cancer
Frequent Urination,Fever,Blurred Vision,Bloody diarrhea,Confusion,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Bloody diarrhea,Disorientation,Critical,Diabetes
Frequent Urination,Hunger,Swollen genitals,Swollen testicles,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Muscle Aches,Rashes,Severe pelvic pain,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Blurred Vision,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Frequent Urination,Fever,Headache,Rose spots,Disorientation,Critical,Diabetes
"Yellow,green discharge",Fever,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Swollen genitals,Rose spots,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Abdominal Pain,Swollen testicles,Confusion,Critical,cancer
"Yellow,green discharge",Urge to urinate,Swollen genitals,Swollen testicles,Confusion,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Headache,Excessive Urination and Thirst,Seizures,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Frequent Infection,Swollen testicles,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Rashes,Seizures,Critical,cancer
Difficulties in stooling,Fever,Abdominal Pain,NIL,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Tired,Swollen genitals,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Disorientation,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Rose spots,Seizures,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Frequent Infection,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Frequent Infection,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cancer
Painful Urination,Fever,Headache,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,Rose spots,Seizures,Critical,cancer
"Yellow,green discharge",Tired,Muscle Aches,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Fever,Abdominal Pain,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Tired,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
"Yellow,green discharge",Tired,Swollen genitals,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,Rose spots,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Blurred Vision,NIL,Cough and breathing difficulties,Critical,Diabetes
Difficulties in stooling,Hunger,Headache,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Difficulties in stooling,Tired,Anal Itching and Pain,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Tired,Blurred Vision,Rashes,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Fever,Headache,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Frequent Urination,Hunger,Headache,Swollen testicles,Confusion,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Abdominal Pain,Rashes,Disorientation,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Abdominal Pain,Rose spots,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Abdominal Pain,NIL,Cough and breathing difficulties,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Rashes,Disorientation,Critical,cancer
Difficulties in stooling,Tired,Headache,Rashes,NIL,Critical,cancer
Frequent Urination,Hunger,Swollen genitals,Rose spots,Disorientation,Critical,Diabetes
Frequent Urination,Tired,Headache,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Tired,Blurred Vision,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Anal Itching and Pain,Rose spots,Cough and breathing difficulties,Critical,cancer
Painful Urination,Tired,Frequent Infection,Bloody diarrhea,Severe pelvic pain,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,Swollen testicles,Seizures,Critical,cancer
Difficulties in stooling,Fever,Anal Itching and Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
"Yellow,green discharge",Urge to urinate,Anal Itching and Pain,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Anal Itching and Pain,Rose spots,Confusion,Critical,cardiovascular_disease
"Yellow,green discharge",Hunger,Headache,Swollen testicles,Disorientation,Critical,cancer
"Yellow,green discharge",Fever,Blurred Vision,Rashes,Disorientation,Critical,cancer
Painful Urination,Hunger,Muscle Aches,Rose spots,Confusion,Critical,cancer
Difficulties in stooling,Urge to urinate,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Swollen genitals,Swollen testicles,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Rose spots,Confusion,Critical,cardiovascular_disease
Painful Urination,Fever,Muscle Aches,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Frequent Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Confusion,Critical,Diabetes
Painful Urination,Fever,Swollen genitals,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Painful Urination,Urge to urinate,Frequent Infection,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Abdominal Pain,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Tired,Swollen genitals,Rose spots,Confusion,Critical,Diabetes
Difficulties in stooling,Tired,Frequent Infection,NIL,Cough and breathing difficulties,Critical,cancer
Frequent Urination,Fever,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Blurred Vision,Bloody diarrhea,Seizures,Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Rashes,Severe pelvic pain,Critical,cardiovascular_disease
Frequent Urination,Urge to urinate,Abdominal Pain,Swollen testicles,Confusion,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Rose spots,Disorientation,Critical,Diabetes
Difficulties in stooling,Tired,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cancer
Frequent Urination,Fever,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Urge to urinate,Blurred Vision,Rose spots,Confusion,Critical,Diabetes
Painful Urination,Hunger,Frequent Infection,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Difficulties in stooling,Tired,Blurred Vision,Swollen testicles,Cough and breathing difficulties,Critical,cancer
Painful Urination,Fever,Anal Itching and Pain,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Fever,Blurred Vision,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Anal Itching and Pain,Rose spots,Seizures,Critical,cancer
Frequent Urination,Hunger,Abdominal Pain,Excessive Urination and Thirst,Disorientation,Critical,Diabetes
Frequent Urination,Tired,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Muscle Aches,Rose spots,Slow heart rate and pulse,Critical,cancer
"Yellow,green discharge",Tired,Abdominal Pain,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Fever,Abdominal Pain,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Fever,Frequent Infection,Bloody diarrhea,Disorientation,Critical,cancer
Difficulties in stooling,Hunger,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Frequent Urination,Fever,Anal Itching and Pain,Swollen testicles,Confusion,Critical,Diabetes
Frequent Urination,Fever,Swollen genitals,NIL,Seizures,Critical,Diabetes
Difficulties in stooling,Fever,Swollen genitals,Rashes,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Bloody diarrhea,Seizures,Critical,cardiovascular_disease
"Yellow,green discharge",Fever,Muscle Aches,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Fever,Blurred Vision,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Tired,Anal Itching and Pain,Bloody diarrhea,Seizures,Critical,Diabetes
"Yellow,green discharge",Hunger,Anal Itching and Pain,Rashes,Disorientation,Critical,cancer
Painful Urination,Hunger,Swollen genitals,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Tired,Anal Itching and Pain,Rose spots,Slow heart rate and pulse,Critical,cancer
Painful Urination,Tired,Frequent Infection,Excessive Urination and Thirst,Seizures,Critical,Diabetes
Difficulties in stooling,Hunger,Swollen genitals,Swollen testicles,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Rashes,Seizures,Critical,Diabetes
Difficulties in stooling,Urge to urinate,Frequent Infection,NIL,Cough and breathing difficulties,Critical,cardiovascular_disease
"Yellow,green discharge",Tired,Frequent Infection,NIL,Confusion,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Fever,Swollen genitals,Rashes,Severe pelvic pain,Critical,Diabetes
Painful Urination,Hunger,Headache,NIL,NIL,Not Critical,cancer
Painful Urination,Fever,Abdominal Pain,Rashes,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Hunger,Muscle Aches,Rose spots,Confusion,Critical,cancer
Painful Urination,Tired,Swollen genitals,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Tired,Anal Itching and Pain,Rashes,Confusion,Critical,cancer
Painful Urination,Hunger,Muscle Aches,Swollen testicles,Severe pelvic pain,Critical,cardiovascular_disease
Difficulties in stooling,Hunger,Headache,Rose spots,Seizures,Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,Rashes,Cough and breathing difficulties,Critical,Diabetes
Frequent Urination,Hunger,Anal Itching and Pain,Bloody diarrhea,NIL,Critical,Diabetes
"Yellow,green discharge",Tired,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Tired,Swollen genitals,Swollen testicles,Disorientation,Critical,cancer
Painful Urination,Fever,Swollen genitals,Rose spots,Slow heart rate and pulse,Critical,cancer
Difficulties in stooling,Urge to urinate,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Tired,Frequent Infection,Bloody diarrhea,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Anal Itching and Pain,Bloody diarrhea,Disorientation,Critical,cancer
Painful Urination,Urge to urinate,Abdominal Pain,Rose spots,Seizures,Critical,cardiovascular_disease
Frequent Urination,Hunger,Headache,Excessive Urination and Thirst,NIL,Critical,Diabetes
Difficulties in stooling,Tired,Headache,Bloody diarrhea,Disorientation,Critical,cancer
Frequent Urination,Urge to urinate,Frequent Infection,Bloody diarrhea,Slow heart rate and pulse,Critical,Diabetes
Painful Urination,Hunger,Muscle Aches,Bloody diarrhea,Slow heart rate and pulse,Critical,cancer
Frequent Urination,Fever,Headache,Excessive Urination and Thirst,Slow heart rate and pulse,Critical,Diabetes
Difficulties in stooling,Hunger,Swollen genitals,Rashes,Cough and breathing difficulties,Critical,cancer
"Yellow,green discharge",Fever,Muscle Aches,Swollen testicles,Confusion,Critical,cancer
Frequent Urination,Tired,Anal Itching and Pain,Swollen testicles,Disorientation,Critical,Diabetes
Painful Urination,Fever,Blurred Vision,Excessive Urination and Thirst,NIL,Critical,Diabetes
Painful Urination,Fever,Muscle Aches,Rashes,Disorientation,Critical,cancer
Frequent Urination,Tired,Blurred Vision,Rose spots,Confusion,Critical,Diabetes
"Yellow,green discharge",Hunger,Frequent Infection,Rashes,NIL,Critical,cancer
Difficulties in stooling,Urge to urinate,Frequent Infection,Excessive Urination and Thirst,Cough and breathing difficulties,Critical,Diabetes
"Yellow,green discharge",Hunger,Swollen genitals,Excessive Urination and Thirst,Severe pelvic pain,Critical,Diabetes
